,spending,advance_payments,probability_of_full_payment,current_balance,credit_limit,min_payment_amt,max_spent_in_single_shopping,spending_MinMaxScale,advance_payments_MinMaxScale,probability_of_full_payment_MinMaxScale,current_balance_MinMaxScale,credit_limit_MinMaxScale,min_payment_amt_MinMaxScale,max_spent_in_single_shopping_MinMaxScale,clusters
0,19.94,16.92,0.8752,6.675,3.763,3.252,6.55,0.8829084041548634,0.9318181818181821,0.6088929219600718,1.0,0.8075552387740557,0.32335617417987494,1.0,1
1,15.99,14.89,0.9064,5.3629999999999995,3.582,3.3360000000000003,5.144,0.5099150141643061,0.5123966942148761,0.8920145190562607,0.2612612612612608,0.6785459729151817,0.3342781729056418,0.3077301821762677,3
2,18.95,16.42,0.8829,6.247999999999999,3.755,3.3680000000000003,6.148,0.7894239848914071,0.8285123966942152,0.6787658802177852,0.7595720720720718,0.8018531717747683,0.33843893432498157,0.8020679468242244,1
3,10.83,12.96,0.8099,5.278,2.641,5.182,5.185,0.022662889518413776,0.11363636363636376,0.016333938294009975,0.21340090090090058,0.007840342124020072,0.5743020972838031,0.3279172821270304,2
4,17.99,15.86,0.8992,5.89,3.694,2.068,5.837000000000001,0.6987724268177526,0.7128099173553717,0.8266787658802173,0.5579954954954953,0.7583749109052029,0.16940800166430459,0.6489414081733136,1
5,12.7,13.41,0.8874,5.183,3.091,8.456,5.0,0.19924457034938614,0.20661157024793386,0.7196007259528123,0.15990990990990994,0.32858161083392745,1.0000000000000002,0.2368291482028555,2
6,12.02,13.33,0.8503,5.35,2.81,4.271,5.308,0.13503305004721433,0.19008264462809876,0.38294010889292096,0.2539414414414414,0.12829650748396326,0.45585042062697473,0.3884785819793204,2
7,13.74,14.05,0.8744,5.482,3.114,2.932,4.825,0.2974504249291785,0.33884297520661155,0.6016333938293998,0.32826576576576594,0.34497505345687807,0.2817485599864775,0.15066469719350062,3
8,18.17,16.26,0.8637,6.271,3.512,2.853,6.273,0.7157695939565631,0.7954545454545454,0.5045372050816699,0.7725225225225225,0.6286528866714185,0.2714766802324826,0.8636139832594778,1
9,11.23,12.88,0.8511,5.14,2.795,4.325,5.003,0.06043437204910296,0.09710743801652866,0.39019963702359295,0.13569819819819795,0.11760513186029953,0.4628717055221106,0.23830625307730147,2
10,18.55,16.22,0.8865,6.153,3.674,1.7380000000000002,5.894,0.7516525023607179,0.7871900826446279,0.7114337568058069,0.7060810810810807,0.7441197434069851,0.12650014952736355,0.6770064007877892,1
11,14.09,14.41,0.8529,5.7170000000000005,3.1860000000000004,3.92,5.2989999999999995,0.3305004721435316,0.4132231404958677,0.4065335753176038,0.4605855855855858,0.39629365645046355,0.410212068808592,0.3840472673559816,3
12,12.15,13.45,0.8443,5.417000000000001,2.8369999999999997,3.638,5.337999999999999,0.14730878186968854,0.21487603305785097,0.32849364791288593,0.29166666666666696,0.14754098360655754,0.37354535880066053,0.40324963072378095,2
13,18.98,16.57,0.8687,6.449,3.552,2.144,6.452999999999999,0.7922568460812089,0.8595041322314048,0.549909255898366,0.8727477477477477,0.6571632216678547,0.17928981003523647,0.9522402757262429,1
14,12.1,13.15,0.8793,5.105,2.9410000000000003,2.201,5.056,0.14258734655335226,0.1528925619834709,0.6460980036297634,0.11599099099099108,0.22166785459729188,0.18670116631343536,0.26440177252584895,3
15,12.79,13.53,0.8786,5.224,3.054,5.483,4.958,0.20774315391879128,0.23140495867768562,0.6397459165154267,0.18299549549549576,0.30220955096222357,0.6134392593844674,0.21614967996061019,2
16,16.14,14.99,0.9034,5.6579999999999995,3.562,1.355,5.175,0.5240793201133147,0.5330578512396693,0.8647912885662432,0.42736486486486447,0.6642908054169634,0.07670103628964102,0.3229935992122104,3
17,10.8,12.57,0.8590000000000001,4.981,2.821,4.773,5.063,0.019830028328612137,0.03305785123966931,0.46188747731397495,0.0461711711711712,0.13613684960798333,0.5211223653928669,0.267848350566223,2
18,13.22,13.84,0.868,5.395,3.07,4.157,5.088,0.24834749763928254,0.2954545454545454,0.5435571687840284,0.2792792792792791,0.3136136849607982,0.44102770807057695,0.28015755785327423,2
19,12.7,13.71,0.8491,5.386,2.911,3.26,5.316,0.19924457034938614,0.26859504132231393,0.3720508166969143,0.274211711711712,0.2002851033499644,0.3243963645347099,0.3924175283111766,2
20,12.37,13.47,0.8567,5.204,2.96,3.9189999999999996,5.001,0.16808309726156745,0.21900826446280997,0.4410163339382933,0.17173423423423406,0.23521026372059883,0.41008204501423756,0.23732151649433764,2
21,13.07,13.92,0.848,5.472,2.9939999999999998,5.303999999999999,5.395,0.2341831916902739,0.31198347107438007,0.3620689655172411,0.32263513513513553,0.2594440484675695,0.5901650001950357,0.43131462333825654,2
22,17.98,15.85,0.8993,5.979,3.687,2.2569999999999997,5.919,0.6978281397544854,0.7107438016528924,0.8275862068965516,0.6081081081081083,0.7533856022808265,0.19398249879727986,0.6893156080748395,1
23,12.62,13.67,0.8481,5.41,2.911,3.306,5.231,0.19169027384324844,0.2603305785123964,0.36297640653357455,0.28772522522522515,0.2002851033499644,0.33037745907501076,0.35056622353520384,2
24,15.11,14.54,0.8986,5.579,3.4619999999999997,3.128,5.18,0.42681775259678956,0.44008264462809876,0.8212341197822131,0.38288288288288275,0.5930149679258732,0.3072332236799335,0.3254554406696206,3
25,15.56,14.89,0.8823,5.776,3.408,4.9719999999999995,5.847,0.469310670443815,0.5123966942148761,0.673321234119781,0.4938063063063063,0.5545260156806842,0.546997100469386,0.6538650910881341,3
26,12.78,13.57,0.8716,5.2620000000000005,3.0260000000000002,1.176,4.782,0.20679886685552407,0.23966942148760317,0.576225045372051,0.2043918918918921,0.2822523164647188,0.053426777100209336,0.12949286065977317,3
27,11.02,13.0,0.8189,5.325,2.701,6.735,5.162999999999999,0.04060434372049104,0.12190082644628086,0.09800362976406429,0.2398648648648649,0.05060584461867457,0.7762290499161348,0.31708517971442607,2
28,11.35,13.12,0.8291,5.176,2.668,4.337,5.132000000000001,0.07176581680830973,0.14669421487603262,0.19056261343012615,0.15596846846846857,0.027084818246614573,0.464431991054363,0.3018217626784834,2
29,11.23,12.82,0.8594,5.0889999999999995,2.821,7.524,4.957,0.06043437204910296,0.08471074380165255,0.4655172413793105,0.10698198198198172,0.13613684960798333,0.8788178236617302,0.21565731166912805,2
